timestamp,elapsed_sec,keyword,process_count,matched_pids,cpu_percent,ram_mb
2026-06-10T15:29:54,1.029,gmapping,2,13478 13479,24.000,354.219
2026-06-10T15:29:55,2.054,gmapping,2,13478 13479,5.000,354.219
2026-06-10T15:29:56,3.081,gmapping,2,13478 13479,22.000,354.219
2026-06-10T15:29:57,4.104,gmapping,2,13478 13479,5.000,354.219
2026-06-10T15:29:58,5.131,gmapping,2,13478 13479,22.000,354.219
2026-06-10T15:29:59,6.159,gmapping,2,13478 13479,4.000,354.219
2026-06-10T15:30:00,7.190,gmapping,2,13478 13479,3.000,354.219
2026-06-10T15:30:01,8.211,gmapping,2,13478 13479,25.000,354.219
2026-06-10T15:32:44,1.021,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:46,2.043,gmapping,2,13478 13479,5.000,354.238
2026-06-10T15:32:47,3.069,gmapping,2,13478 13479,18.000,354.238
2026-06-10T15:32:48,4.090,gmapping,2,13478 13479,8.000,354.238
2026-06-10T15:32:49,5.113,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:50,6.139,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:51,7.167,gmapping,2,13478 13479,5.000,354.238
2026-06-10T15:32:52,8.191,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:53,9.217,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:54,10.246,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:55,11.275,gmapping,2,13478 13479,5.000,354.238
2026-06-10T15:32:56,12.302,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:57,13.328,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:32:58,14.354,gmapping,2,13478 13479,5.000,354.238
2026-06-10T15:32:59,15.381,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:33:00,16.408,gmapping,2,13478 13479,3.000,354.238
2026-06-10T15:33:01,17.437,gmapping,2,13478 13479,5.000,354.238
2026-06-10T15:33:02,18.462,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:33:03,19.488,gmapping,2,13478 13479,4.000,354.238
2026-06-10T15:54:40,1.022,gmapping,2,16208 16209,22.000,354.121
2026-06-10T15:54:41,2.051,gmapping,2,16208 16209,4.000,354.121
2026-06-10T15:54:42,3.077,gmapping,2,16208 16209,23.000,354.121
2026-06-10T15:54:43,4.101,gmapping,2,16208 16209,4.000,354.121
2026-06-10T15:54:45,5.128,gmapping,2,16208 16209,24.000,354.121
2026-06-10T15:54:46,6.155,gmapping,2,16208 16209,4.000,354.121
2026-06-10T15:54:47,7.182,gmapping,2,16208 16209,22.000,354.121
2026-06-10T15:54:48,8.206,gmapping,2,16208 16209,4.000,354.121
2026-06-10T15:54:49,9.234,gmapping,2,16208 16209,22.000,354.121
2026-06-10T15:54:50,10.260,gmapping,2,16208 16209,5.000,354.121
2026-06-10T15:54:51,11.286,gmapping,2,16208 16209,28.000,354.125
2026-06-10T15:54:52,12.313,gmapping,2,16208 16209,4.000,354.125
2026-06-10T15:54:53,13.336,gmapping,2,16208 16209,23.000,354.125
2026-06-10T15:54:54,14.360,gmapping,2,16208 16209,3.000,354.125
2026-06-10T15:54:55,15.384,gmapping,2,16208 16209,22.000,354.125
2026-06-10T15:54:56,16.413,gmapping,2,16208 16209,5.000,354.125
2026-06-10T15:54:57,17.437,gmapping,2,16208 16209,23.000,354.129
2026-06-10T15:54:58,18.464,gmapping,2,16208 16209,6.000,354.129
2026-06-10T15:54:59,19.486,gmapping,2,16208 16209,18.000,354.129
2026-06-10T15:55:00,20.513,gmapping,2,16208 16209,5.000,354.129
2026-06-10T15:55:01,21.538,gmapping,2,16208 16209,22.000,354.129
2026-06-10T15:55:02,22.567,gmapping,2,16208 16209,7.000,354.129
2026-06-10T15:55:03,23.590,gmapping,2,16208 16209,19.000,354.133
2026-06-10T15:55:04,24.620,gmapping,2,16208 16209,4.000,354.133
2026-06-10T15:55:05,25.643,gmapping,2,16208 16209,24.000,354.133
2026-06-10T15:55:06,26.667,gmapping,2,16208 16209,7.000,354.133
2026-06-10T15:55:07,27.690,gmapping,2,16208 16209,19.000,354.133
2026-06-10T15:55:08,28.723,gmapping,2,16208 16209,22.000,354.133
2026-06-10T15:55:09,29.749,gmapping,2,16208 16209,5.000,354.133
2026-06-10T15:55:10,30.775,gmapping,2,16208 16209,17.000,354.133
2026-06-10T15:55:11,31.800,gmapping,2,16208 16209,8.000,354.133
2026-06-10T15:55:12,32.826,gmapping,2,16208 16209,23.000,354.133
2026-06-10T15:55:13,33.854,gmapping,2,16208 16209,5.000,354.133
2026-06-10T15:55:14,34.881,gmapping,2,16208 16209,22.000,354.137
2026-06-10T15:55:15,35.907,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:16,36.935,gmapping,2,16208 16209,26.000,354.137
2026-06-10T15:55:17,37.956,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:18,38.982,gmapping,2,16208 16209,21.000,354.137
2026-06-10T15:55:19,40.009,gmapping,2,16208 16209,5.000,354.137
2026-06-10T15:55:20,41.035,gmapping,2,16208 16209,23.000,354.137
2026-06-10T15:55:21,42.061,gmapping,2,16208 16209,5.000,354.137
2026-06-10T15:55:22,43.086,gmapping,2,16208 16209,22.000,354.137
2026-06-10T15:55:24,44.119,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:25,45.148,gmapping,2,16208 16209,23.000,354.137
2026-06-10T15:55:26,46.173,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:27,47.199,gmapping,2,16208 16209,23.000,354.137
2026-06-10T15:55:28,48.225,gmapping,2,16208 16209,5.000,354.137
2026-06-10T15:55:29,49.254,gmapping,2,16208 16209,21.000,354.137
2026-06-10T15:55:30,50.277,gmapping,2,16208 16209,5.000,354.137
2026-06-10T15:55:31,51.303,gmapping,2,16208 16209,23.000,354.137
2026-06-10T15:55:32,52.331,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:33,53.357,gmapping,2,16208 16209,24.000,354.137
2026-06-10T15:55:34,54.386,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:35,55.413,gmapping,2,16208 16209,24.000,354.137
2026-06-10T15:55:36,56.441,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:37,57.465,gmapping,2,16208 16209,22.000,354.137
2026-06-10T15:55:38,58.494,gmapping,2,16208 16209,4.000,354.137
2026-06-10T15:55:39,59.521,gmapping,2,16208 16209,21.000,354.137
2026-06-10T15:55:40,60.548,gmapping,2,16208 16209,6.000,354.137
