timestamp,elapsed_sec,keyword,process_count,matched_pids,cpu_percent,ram_mb
2026-06-10T16:10:05,1.024,cartographer,4,19953 19954 19956 19958,32.000,281.387
2026-06-10T16:10:06,2.052,cartographer,4,19953 19954 19956 19958,36.000,281.891
2026-06-10T16:10:07,3.079,cartographer,4,19953 19954 19956 19958,33.000,281.891
2026-06-10T16:10:08,4.102,cartographer,4,19953 19954 19956 19958,34.000,281.891
2026-06-10T16:10:09,5.138,cartographer,4,19953 19954 19956 19958,37.000,281.898
2026-06-10T16:10:10,6.166,cartographer,4,19953 19954 19956 19958,35.000,281.902
2026-06-10T16:10:11,7.194,cartographer,4,19953 19954 19956 19958,35.000,281.902
2026-06-10T16:10:12,8.223,cartographer,4,19953 19954 19956 19958,32.000,281.902
2026-06-10T16:10:13,9.251,cartographer,4,19953 19954 19956 19958,31.000,281.902
2026-06-10T16:10:14,10.279,cartographer,4,19953 19954 19956 19958,34.000,281.922
2026-06-10T16:10:15,11.302,cartographer,4,19953 19954 19956 19958,36.000,281.922
2026-06-10T16:10:16,12.328,cartographer,4,19953 19954 19956 19958,32.000,281.914
2026-06-10T16:10:17,13.359,cartographer,4,19953 19954 19956 19958,31.000,281.902
2026-06-10T16:10:18,14.386,cartographer,4,19953 19954 19956 19958,32.000,281.938
2026-06-10T16:10:20,15.411,cartographer,4,19953 19954 19956 19958,33.000,282.070
2026-06-10T16:10:21,16.437,cartographer,4,19953 19954 19956 19958,32.000,282.090
2026-06-10T16:10:22,17.467,cartographer,4,19953 19954 19956 19958,36.000,282.090
2026-06-10T16:10:23,18.493,cartographer,4,19953 19954 19956 19958,28.000,282.094
2026-06-10T16:10:24,19.518,cartographer,4,19953 19954 19956 19958,31.000,282.094
2026-06-10T16:10:25,20.546,cartographer,4,19953 19954 19956 19958,35.000,282.109
2026-06-10T16:10:26,21.576,cartographer,4,19953 19954 19956 19958,30.000,282.113
2026-06-10T16:10:27,22.603,cartographer,4,19953 19954 19956 19958,29.000,282.121
2026-06-10T16:10:28,23.631,cartographer,4,19953 19954 19956 19958,38.000,282.129
2026-06-10T16:10:29,24.656,cartographer,4,19953 19954 19956 19958,29.000,282.145
2026-06-10T16:10:30,25.686,cartographer,4,19953 19954 19956 19958,31.000,282.141
2026-06-10T16:10:31,26.719,cartographer,4,19953 19954 19956 19958,36.000,282.195
2026-06-10T16:10:32,27.748,cartographer,4,19953 19954 19956 19958,33.000,282.199
2026-06-10T16:10:33,28.775,cartographer,4,19953 19954 19956 19958,36.000,282.461
2026-06-10T16:10:34,29.799,cartographer,4,19953 19954 19956 19958,31.000,282.707
2026-06-10T16:10:35,30.826,cartographer,4,19953 19954 19956 19958,31.000,282.727
2026-06-10T16:10:36,31.854,cartographer,4,19953 19954 19956 19958,36.000,282.727
2026-06-10T16:10:37,32.887,cartographer,4,19953 19954 19956 19958,35.000,282.730
2026-06-10T16:10:38,33.913,cartographer,4,19953 19954 19956 19958,31.000,282.738
2026-06-10T16:10:39,34.943,cartographer,4,19953 19954 19956 19958,34.000,282.738
2026-06-10T16:10:40,35.968,cartographer,4,19953 19954 19956 19958,33.000,282.742
2026-06-10T16:10:41,36.996,cartographer,4,19953 19954 19956 19958,28.000,282.738
2026-06-10T16:10:42,38.022,cartographer,4,19953 19954 19956 19958,35.000,282.750
2026-06-10T16:10:43,39.050,cartographer,4,19953 19954 19956 19958,30.000,282.754
2026-06-10T16:10:44,40.075,cartographer,4,19953 19954 19956 19958,31.000,282.754
2026-06-10T16:10:45,41.109,cartographer,4,19953 19954 19956 19958,37.000,283.414
2026-06-10T16:10:46,42.139,cartographer,4,19953 19954 19956 19958,29.000,283.680
2026-06-10T16:10:47,43.170,cartographer,4,19953 19954 19956 19958,31.000,283.684
2026-06-10T16:10:48,44.198,cartographer,4,19953 19954 19956 19958,30.000,283.684
2026-06-10T16:10:49,45.235,cartographer,4,19953 19954 19956 19958,33.000,283.684
2026-06-10T16:10:50,46.263,cartographer,4,19953 19954 19956 19958,34.000,283.691
2026-06-10T16:10:51,47.292,cartographer,4,19953 19954 19956 19958,36.000,283.691
2026-06-10T16:10:52,48.322,cartographer,4,19953 19954 19956 19958,29.000,283.691
2026-06-10T16:10:53,49.345,cartographer,4,19953 19954 19956 19958,35.000,283.707
2026-06-10T16:10:54,50.374,cartographer,4,19953 19954 19956 19958,35.000,283.707
2026-06-10T16:10:55,51.402,cartographer,4,19953 19954 19956 19958,35.000,283.707
2026-06-10T16:10:57,52.427,cartographer,4,19953 19954 19956 19958,33.000,283.766
2026-06-10T16:10:58,53.452,cartographer,4,19953 19954 19956 19958,38.000,283.914
2026-06-10T16:10:59,54.476,cartographer,4,19953 19954 19956 19958,37.000,284.020
2026-06-10T16:11:00,55.498,cartographer,4,19953 19954 19956 19958,34.000,284.020
2026-06-10T16:11:01,56.525,cartographer,4,19953 19954 19956 19958,36.000,284.055
2026-06-10T16:11:02,57.549,cartographer,4,19953 19954 19956 19958,30.000,284.008
2026-06-10T16:11:03,58.578,cartographer,4,19953 19954 19956 19958,34.000,283.980
2026-06-10T16:11:04,59.601,cartographer,4,19953 19954 19956 19958,40.000,284.281
2026-06-10T16:11:05,60.631,cartographer,4,19953 19954 19956 19958,34.000,284.320
